长途货车司机招聘,货运司机,2人,上海宝安公路2438号,上海锐楷物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,上海至广州往返，服从管理，听从安排，,本公司专业从事长途货物运输，上海至广州，上海至成都往返线路，佣有全封闭半挂车二十多辆。
货车司机,货运司机,3人,上海松江石湖荡贵南路9号近辰塔路,上海壁丽宝,建筑/装修,民营,100-499人,诚信等级：,,岗位职责:任职资格:试用期工资5000元，年龄50岁以下，有B2以上驾照，有货运资格证，对上海路线熟悉，无不良记录，具备一定的机械维护保养和安全常识，服从管理。工作时间:,我公司为生产建材辅料行业，集生产、销售、售后于一体，欢迎有志之士加入我们。
韵达快递找B2驾驶员,货运司机,3人,上海惠南镇南汇工业园区,韵达快递,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,工作时间：每天上午九点到晚上九点工作安排：每天下午客户收件，晚上发货人员要求：能吃苦，有责任心，对工作负责，服从上级领导安排，必须长期,“韵达快递”品牌创立于1999年8月，总部位于中国上海，现已成为集快递、物流、电子商务配送和仓储服务为一体的全国网络型品牌快递企业，服务范围覆盖国内31个省（区、市）及港澳台地区。2013年以来，韵达快递开启了国际化发展步伐，相继与日本、韩国、美国、德国、澳大利亚等国家和地区开展国际快件业务合作，逐步走出国门，为海外消费者提供快递服务。
常年招聘货运司机,货运司机,1人,上海松江区九亭镇涞亭北路451号,上海榕株实业有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,要求有自己的厢式货车或依维柯，按公司要求路线送货（上海及周边），计件提成，多劳多得制，外加各种补贴，要求有责任心，服务态度好，肯干能吃苦。,公司成立于二零零零年，秉持“销售品质，创造满意”的经营理念，服务于面向全上海的经营大商。
新龙华搅拌站,货运司机,1人,上海闵行闵行在龙吴路景联路,新龙华搅拌站,其它行业,民营,20-99人,诚信等级：,,工地送混凝土能吃苦耐劳的,这家公司还没来得及写简介~
B2驾驶证,货运司机,2人,上海上海宝山区蕴川路1800号福人木业,福人木业有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,责任心强，路熟悉的，,福人木业创于1997年现有企业500家木业
C1证既可,货运司机,2人,上海下盐路与沪南路路口,上海群益木业有限公司,建筑/装修,民营,20-99人,诚信等级：,,能吃苦耐劳，对上海市区的路熟识,本公司是一家集研发，生产，销售中高档实木套装门，实木套装门，防实木套装门，烤漆复合套装门，模压门，木门窗套，柜门等系列的木制品生产企业。
半挂车司机,货运司机,1人,上海松江，荣乐路正广福物流园,三菱电梯,其它行业,民营,20-99人,诚信等级：,,半挂车司机13米会倒车，有实际开车经验,刚刚成立，期待我们一起努力
招聘货运司机,货运司机,1人,上海联友路附近仓库,五常市民乐乡华米米业有限公司,农/林/牧/渔,民营,20人以下,诚信等级：,,有C1及以驾驶证善于沟通，吃苦耐劳,“历尽天下地，方得帝王田，米家屯田下，自此有民乐”。米氏一族自1830年移居五常民乐距今已近200年，为了将米氏一族将“天谷上米”的帝王米文化更加广泛的传承延续，米氏于1999年投资成立五常市民乐乡华米米业有限公司。华米米业座落于五常市极品水稻产区——民乐朝鲜族乡，占地万余平方米，自有铁路专用线，现有高级技术人员8人，高级管理人员26人。依托厚重的世家文化与先进的水稻种植加工技术，致力于民乐帝王米的传承与发扬，倡导回归自然原生态，继承传统价值观，以基地建设为基础，以公司+基地+农户为产业发展模式，现已形成优质稳定的水稻生产基地20000万亩，直接带动农户5000户，每年直接为农民增加收入500万元以上。公司始终以诚信为本，以质量为优，以服务为先，以带动农民增收为己任，以打造中国最优质大米为目标，先后打造了天谷御道、东北民乐源、水晶玉粒等多个大米品牌，数十种产品，已在市场赢得广泛的认同和赞誉，随着企业规模的不断扩大，产品品质的不断提高，华米米业必将成为中国大米行业的一支标志性旗帜屹立于民族企业之林。
A2集装箱驾驶员,货运司机,5人,上海浦东新区随塘路180号,上海鲁联运输有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,熟悉江浙沪，听从调度安排,上海鲁联运输有限公司成立1998年，现在公司有22辆人员36人
货运司机,货运司机,1人,上海宝山区罗店镇罗南东太路80弄,短途货运,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,招跑上海周边货运司机，高低板17.5货车。导短。工资可免谈。非诚勿扰,短途货运高低板司机……
招6.8米厢车司机,货运司机,1人,上海丰茂路888弄6号,上海贵宏物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,上海到苏州昆山等把门到门送货，要求对路线熟悉,本公司是上海到苏州，昆山，太仓专线，专线往返天天发车！现招6米8厢车司机两名，有意者请联系章小姐或易先生
龙力得直招C1别克商务车司机,货运司机,4人,上海南桥奉浦工业园区,上海龙利得有限公司,其它行业,合资,500-999人,诚信等级：,,8小时双休日，包吃住交社保，打电话联系我,本公司位于奉贤奉浦工业园区，现有员工900人左右，公司待遇优厚，上班环境好，提供吃住
高低板驾驶员,货运司机,1人,上海宝山区罗店镇罗南东太路80弄,短途货运,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,招跑上海周边货运司机，高低板17.5货车。导短。工资可免谈。非诚勿扰,短途货运高低板司机……
c1货运司机 4500+提成+包吃住,货运司机,5人,上海金山石化上海金山区石化金山大道,上海海愈物流有限公司,生产/制造,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,运始终坚持以市场为导向，以客户满意为中心，在激烈的市场竞争中积极倡导“诚信全球、追求卓越、奉献社会、实现共赢”的价值理念，运用国际最新服务理念和手段，带动企业服务质量的不断提高，
