平安付,经验3-5年 ,徐汇区,金融 ,15k-25k,15000,25000
鱼泡泡,经验1-3年 ,上海,生活服务 ,10k-20k,10000,20000
平安银行,经验3-5年 ,斜土路,金融 ,20k-30k,20000,30000
厚本金融,经验1-3年 ,上海,金融 ,8k-15k,8000,15000
爱乐奇,经验3-5年 ,张江,移动互联网 ,15k-25k,15000,25000
韩创科技,经验1-3年 ,南码头,"移动互联网,文化娱乐 ",6k-10k,6000,10000
还呗-智能信贷领先者,经验3-5年 ,张江,"移动互联网,金融 ",20k-30k,20000,30000
饿了么,经验3-5年 ,长征,移动互联网 ,20k-30k,20000,30000
返利网,经验3-5年 ,龙华,电子商务 ,15k-30k,15000,30000
天阳科技,经验3-5年 ,浦东新区,"企业服务,金融 ",12k-20k,12000,20000
金大师,经验3-5年 ,塘桥,"移动互联网,金融 ",10k-20k,10000,20000
Gridsum 国双,经验3-5年 ,静安寺,数据服务 ,10k-20k,10000,20000
卉元投资,经验应届毕业生 ,洋泾,金融 ,10K-20K,10000,20000
哔哩哔哩,经验1-3年 ,东外滩,"移动互联网,文化娱乐 ",8k-15k,8000,15000
陆金所,经验3-5年 ,陆家嘴,金融 ,10k-20k,10000,20000
饿了么,经验3-5年 ,长征,移动互联网 ,15k-25k,15000,25000
PPTV聚力,经验5-10年 ,张江,文化娱乐 ,15k-20k,15000,20000
任我花,经验1-3年 ,徐汇区,"移动互联网,金融 ",10k-15k,10000,15000
百融金服,经验1-3年 ,梅园,"金融,数据服务 ",10k-20k,10000,20000
寄云科技,经验1-3年 ,肇嘉浜路,"移动互联网,数据服务 ",15k-25k,15000,25000
奇虎360金融,经验1-3年 ,洋泾,"移动互联网,金融 ",15k-25k,15000,25000
返利网,经验5-10年 ,龙华,电子商务 ,15k-30k,15000,30000
迈迈车,经验3-5年 ,虹梅路,"电子商务,移动互联网 ",15K-25K,15000,25000
学霸君,经验5-10年 ,五角场,"移动互联网,教育 ",30k-40k,30000,40000
浅橙科技,经验1-3年 ,江湾,"移动互联网,金融 ",10k-20k,10000,20000
微医集团,经验1-3年 ,漕宝路,"移动互联网,医疗健康 ",6k-10k,6000,10000
旅游圈,经验3-5年 ,火车站,移动互联网 ,10k-15k,10000,15000
点融网,经验5-10年 ,五里桥,金融 ,25k-50k,25000,50000
爱乐奇,经验3-5年 ,浦东新区,移动互联网 ,15k-25k,15000,25000
饿了么,经验3-5年 ,长征,移动互联网 ,15k-25k,15000,25000
返利网,经验3-5年 ,龙华,电子商务 ,15k-30k,15000,30000
天阳科技,经验3-5年 ,唐镇,"企业服务,金融 ",15k-25k,15000,25000
上海惠保数据科技有限公司,经验3-5年 ,陆家嘴,"移动互联网,O2O ",15k-25k,15000,25000
MSO眸事网,经验3-5年 ,和平公园,O2O ,10k-15k,10000,15000
鱼泡泡,经验1-3年 ,漕河泾,生活服务 ,10k-15k,10000,15000
美团点评,经验3-5年 ,中山公园,"移动互联网,O2O ",20k-35k,20000,35000
Putao,经验不限 ,闵行区,移动互联网 ,15k-25k,15000,25000
华院数据,经验1-3年 ,杨浦区,"企业服务,数据服务 ",10k-15k,10000,15000
华夏信财,经验3-5年 ,浦东新区,"移动互联网,金融 ",10k-15k,10000,15000
华院数宣,经验3-5年 ,江湾,"数据服务,金融 ",12k-18k,12000,18000
联璧,经验1-3年 ,松江区,"移动互联网,O2O ",10k-18k,10000,18000
买单侠,经验不限 ,东方路,移动互联网、金融 ,10k-20k,10000,20000
浅橙科技,经验1-3年 ,江湾,"移动互联网,金融 ",8k-12k,8000,12000
算话征信,经验3-5年 ,长宁区,"数据服务,移动互联网 ",15k-30k,15000,30000
饿了么,经验5-10年 ,长征,移动互联网 ,25k-40k,25000,40000
返利网,经验5-10年 ,龙华,电子商务 ,15k-30k,15000,30000
游族网络,经验1-3年 ,徐汇区,"移动互联网,游戏 ",9k-18k,9000,18000
平安健康互联网,经验1-3年 ,龙华,"移动互联网,医疗健康 ",8k-15k,8000,15000
旅游圈,经验3-5年 ,天目西路,移动互联网 ,15k-20k,15000,20000
Gridsum 国双,经验5-10年 ,南京西路,数据服务 ,15k-25k,15000,25000
众安保险,经验1-3年 ,外滩,金融 ,15k-25k,15000,25000
Soul App,经验3-5年 ,徐泾,"社交网络,文化娱乐 ",15K-30K,15000,30000
上海小零网络科技有限公司爱零工,经验1-3年 ,淮海路,"移动互联网,O2O ",5k-8k,5000,8000
奥致网络,经验1-3年 ,肇嘉浜路,"移动互联网,生活服务 ",9k-14k,9000,14000
中腾信,经验3-5年 ,虹口区,"移动互联网,金融 ",17k-26k,17000,26000
易果生鲜,经验3-5年 ,北新泾,电子商务 ,18k-25k,18000,25000
路路由,经验不限 ,浦东新区,"移动互联网,O2O ",8k-15k,8000,15000
斗鱼直播,经验1-3年 ,杨浦区,移动互联网 ,8k-13k,8000,13000
灿福科技,经验5-10年 ,镇宁路,"移动互联网,数据服务 ",20K-30K,20000,30000
返利网,经验5-10年 ,龙华,电子商务 ,30k-50k,30000,50000
樱维科技,经验3-5年 ,外滩,"移动互联网,企业服务 ",12k-24k,12000,24000
今日捷财,经验3-5年 ,虹口区,金融 ,12k-18k,12000,18000
欣和食与家,经验3-5年 ,中山公园,"生活服务,社交网络 ",9k-15k,9000,15000
灿福科技,经验1-3年 ,镇宁路,"移动互联网,数据服务 ",12k-24k,12000,24000
喔噻科技,经验3-5年 ,金沙江路,移动互联网 ,6k-10k,6000,10000
平安付,经验3-5年 ,龙华,金融 ,15k-25k,15000,25000
携程,经验3-5年 ,北新泾,"移动互联网,旅游 ",20k-30k,20000,30000
上海容申,经验3-5年 ,徐汇区,移动互联网 ,15k-20k,15000,20000
截塔金融,经验3-5年 ,黄兴公园,"移动互联网,金融 ",10k-20k,10000,20000
优雅广告,经验3-5年 ,虹桥,"数据服务,广告营销 ",20k-30k,20000,30000
Gridsum 国双,经验5-10年 ,南京西路,数据服务 ,15k-25k,15000,25000
北京和讯在线信息咨询服务有限公司（金融创新部）,经验1-3年 ,黄浦区,"移动互联网,金融 ",10k-20k,10000,20000
达达-京东到家,经验3-5年 ,东外滩,O2O ,15k-25k,15000,25000
永辉超市股份有限公司,经验3-5年 ,田林,"电子商务,O2O ",12k-24k,12000,24000
泛为,经验5-10年 ,浦东新区,"移动互联网,广告营销 ",40k-50k,40000,50000
爱婴室,经验5-10年 ,浦东新区,"移动互联网,其他 ",10k-18k,10000,18000
联璧,经验3-5年 ,松江区,"移动互联网,O2O ",10k-15k,10000,15000
滴滴出行,经验5-10年 ,长寿路,移动互联网 ,18k-25k,18000,25000
沪江,经验3-5年 ,浦东新区,"移动互联网,教育 ",15k-30k,15000,30000
上海第一财经新媒体,经验不限 ,上海电视台,移动互联网 ,9k-15k,9000,15000
算话征信,经验1-3年 ,江苏路地铁,"数据服务,移动互联网 ",10k-15k,10000,15000
我厨（上海）科技有限公司,经验3-5年 ,源深体育中心,"电子商务,O2O ",10k-20k,10000,20000
斗鱼直播,经验应届毕业生 ,杨浦区,移动互联网 ,8k-13k,8000,13000
么么直播,经验3-5年 ,万源城,"移动互联网,社交网络 ",10k-15k,10000,15000
平安健康互联网,经验3-5年 ,龙华,"移动互联网,医疗健康 ",15k-30k,15000,30000
FlowerPlus,经验1-3年 ,嘉定区,O2O ,6k-8k,6000,8000
上海赢贝金融,经验3-5年 ,十六铺,"移动互联网,金融 ",15k-30k,15000,30000
时趣social-touch,经验3-5年 ,中山公园,移动互联网 ,10k-20k,10000,20000
达达-京东到家,经验1-3年 ,东外滩,O2O ,6k-10k,6000,10000
热风 hotwind,经验1年以下 ,梅陇,生活服务 ,8k-12k,8000,12000
携程,经验1-3年 ,北新泾,"移动互联网,旅游 ",15k-20k,15000,20000
挖财,经验1-3年 ,世纪公园,"移动互联网,金融 ",12k-24k,12000,24000
百融金服,经验1-3年 ,八佰伴,"金融,数据服务 ",15k-20k,15000,20000
沪江,经验3-5年 ,张江,"移动互联网,教育 ",15k-30k,15000,30000
美团点评,经验1-3年 ,中山公园,"移动互联网,O2O ",15k-30k,15000,30000
饿了么,经验1-3年 ,长征,移动互联网 ,10k-18k,10000,18000
七牛云,经验不限 ,张江,"移动互联网,数据服务 ",15k-30k,15000,30000
上海心灵伙伴云计算,经验3-5年 ,金沙江路,教育 ,15k-30k,15000,30000
淳粹文化传媒,经验1-3年 ,徐家汇,广告营销 ,7k-10k,7000,10000
上海金程教育培训有限公司,经验不限 ,复旦大学,教育 ,5k-6k,5000,6000
返利网,经验5-10年 ,龙华,电子商务 ,20k-30k,20000,30000
Glow,经验3-5年 ,黄浦区,"移动互联网,医疗健康 ",15k-30k,15000,30000
上海宏鹿信息技术服务有限公司,经验3-5年 ,张江,移动互联网 ,15k-30k,15000,30000
口袋网,经验3-5年 ,花木,"移动互联网,金融 ",15k-30k,15000,30000
