BRAND,COMPANY,FINANCIAL AMOUNT,ROUNDS,INVESTORS,INDUSTRY,TIME
解放区,深圳前海邻里乐科技服务有限公司,数千万人民币,战略投资,团贷网,生活消费,2017/6/26
莱杯咖啡/ 咖趣科技,北京咖趣科技有限公司,数千万人民币,Pre-A,真格基金梅花天使创投,生活消费,2017/6/26
今借到,北京小马创业投资管理有限公司,2000万人民币,Pre-A,盈动资本,金融支付,2017/6/26
唐吉诃德,北京唐吉诃德科技有限公司,数千万人民币,Pre-A,丹华资本DanhuaCapital,房产,2017/6/26
e代理,博恩惠尔信息科技(上海)有限公司,数千万美元,A+轮,险峰长青(险峰华兴)新光创投中国先锋金融集团云九资本光速中国力宝,营销广告,2017/6/26
绎维软件,上海绎维软件系统有限公司,3000万人民币,A轮,红杉资本中国,企业服务,2017/6/26
扩博智能Clobotics,上海扩博智能技术有限公司,未公开,A轮,纪源资本GGV,硬件,2017/6/26
迪英加,杭州迪英加科技有限公司,1500万人民币,天使轮,将门创投,医疗健康,2017/6/26
房租贷,北京小马创业投资管理有限公司,2000万人民币,Pre-A,盈动资本,房产,2017/6/26
创冰科技(创冰体育),上海创冰信息科技有限公司,数千万人民币,A+轮,承德耀村澜亭资本,内容产业,2017/6/25
销售罗盘,寒崖（上海）网络科技有限公司,2000万人民币,A轮,天鹰资本用友幸福投资复祥投资新道科技,营销广告,2017/6/25
西井科技,"上海西井信息科技有限公司	",未公开,A轮,复星同浩,企业服务,2017/6/25
乐村淘,山西乐村淘网络科技有限公司,数千万人民币,A+轮,天赋资本,电子商务移动互联网,2017/6/25
读客图书,上海读客图书有限公司,1.28亿人民币,A轮,君联资本华夏知合内向基金,文体娱乐,2017/6/25
诺博教育,北京哥大诺博教育科技股份有限公司,4290万人民币,A轮,清控银杏创投德同资本中文教育产业基金,教育,2017/6/25
悠洗,福建美橙网络科技有限公司,3000万人民币,A轮,新华都,生活消费,2017/6/25
Airlab新共响,新共响科技有限公司,1000万人民币,天使轮,投资方未透露,企业服务,2017/6/25
Hi维修,上海英梦网络科技有限公司,5000万人民币,A+轮,恺英网络,生活消费,2017/6/25
大糖医,汇马医疗科技（上海）有限公司,数千万人民币,A轮,盈信投资,医疗健康,2017/6/25
运去哪,上海汇航捷讯网络科技有限公司,5000万人民币,A+轮,DCM中国星河互联春晓资本,电子商务,2017/6/25
精悦蓉,上海悦蓉餐饮有限公司,未公开,战略投资,中金佳泰,生活消费,2017/6/25
大丰收农资商城（五...,深圳市五谷网络科技有限公司,2亿人民币,B轮,经纬中国华创资本兰馨亚洲,电子商务,2017/6/25
多彩投,北京多彩投网络科技有限公司,数千万人民币,A轮,顺为资本DCM中国,金融支付,2017/6/25
量子学派,广州量子学派信息科技有限公司,500万人民币,天使轮,英诺天使基金中科创星,教育,2017/6/25
Multiverse摩登世纪,深圳市摩登世纪科技有限公司,数千万美元,A轮,黑洞投资,ARVR游戏动漫,2017/6/25
钱大妈,广州市钱大妈农产品有限公司,未公开,A+轮,京东,生活消费,2017/6/25
万铭金服,杭州万铭金融信息服务有限公司,未公开,战略投资,三盛宏业,金融支付,2017/6/25
金蝶软件,金蝶软件（中国）有限公司,过亿人民币,A轮,新光集团,工具软件企业服务,2017/6/25
appMagics,迈吉客科技（北京）有限公司,数千万人民币,A+轮,华盖资本博将资本紫辉创投,ARVR内容产业,2017/6/25
人人智能Openface,珠海中科人人智能科技有限公司,未公开,天使轮,投资方未透露,企业服务,2017/6/25
汤先生TomsonSoup,上海赞思餐饮管理有限公司,600万人民币,天使轮,真格基金李康林,生活消费,2017/6/22
Auto3D小桁网络,上海小桁网络科技有限公司,数百万人民币,战略投资,集结号资本九合创投,内容产业,2017/6/22
果果庄园,西安果果庄园电子商务有限公司,200万人民币,天使轮,投资方未透露,电子商务,2017/6/22
猫屎星球/ 粉萌科技,杭州粉萌科技有限公司,数百万人民币,天使轮,投资方未透露,电子商务,2017/6/22
打零工,打零工（上海）互联网科技有限公司,2000万人民币,战略投资,投资方未透露,生活消费,2017/6/21
隆麟网络,上海隆麟网络技术有限公司,4000万人民币,A轮,彬复资本盛万投资伯黎创投,内容产业,2017/6/21
尝途旅行TastyTrave...,广州尝途信息科技有限公司,未公开,天使轮,薛蛮子,旅游户外,2017/6/21
时客网,江苏睿泰教育科技有限公司,1350万美元,IPO,,电子商务,2017/6/21
万店掌,苏州科达科技股份有限公司,1500万人民币,A轮,金沙江创投,企业服务,2017/6/21
华体照明,四川华体照明科技股份有限公司,不详,IPO,投资方未透露,企业服务,2017/6/21
掌趣科技,北京掌趣科技股份有限公司,4.9亿人民币,战略投资,腾讯,游戏动漫,2017/6/21
长亭科技,北京长亭科技有限公司,数千万人民币,A轮,启明创投君盛投资滴滴出行,企业服务,2017/6/21
学两招,北京学两招科技有限公司,数百万人民币,天使轮,创客100基金,教育,2017/6/21
加速云,杭州加速云信息技术有限公司,数千万人民币,Pre-A,达晨创投真格基金如山投资,企业服务,2017/6/21
快乐的蛋/ 邦铭农...,邦铭农信科技(北京)有限公司,300万人民币,天使轮,阿米巴资本王东晖,新农业,2017/6/21
集群车宝, 广州市集群车宝汽车服务连锁有限公司,5000万人民币,A+轮,磐晟资产,交通出行,2017/6/21
首汽约车,首约科技(天津)有限公司,未公开,B轮,投资方未透露,交通出行,2017/6/21
维宁传媒,维宁文化传媒（北京）有限公司,未公开,A轮,智美体育卓越教育达晨创投世纪金源,企业服务,2017/6/21
袋鼠影业,北京袋鼠部落影业有限公司,4500万人民币,天使轮,黑洞投资,文体娱乐,2017/6/21
星火钱包,湖南星投信息服务有限公司,数千万人民币,A轮,JadeValue湖南文化艺术宏商资本,金融支付,2017/6/21
隆麟网络,上海隆麟网络技术有限公司,4000万人民币,A轮,彬复资本盛万投资,内容产业,2017/6/21
远海国际,常州漫道图像技术股份有限公司,数千万人民币,A轮,投资方未透露,旅游户外,2017/6/20
九衢数据,天津九衢大数据科技有限公司,225万人民币,天使轮,易森投资,交通出行,2017/6/20
倍格创业,北京倍格创业科技孵化器有限公司,1800万美元,A轮,第一投资宏府产业投资集团,企业服务,2017/6/20
墨丘科技,北京墨丘科技有限公司,数千万人民币,天使轮,中科创星,企业服务,2017/6/20
大力税手,北京翰邦中科技术研究合伙企业（有限合伙）,800万人民币,天使轮,投资方未透露,企业服务,2017/6/20
全息互信,北京全息互信数据科技有限公司,3000万人民币,A轮,昆仲资本联想创投集团,企业服务,2017/6/20
乐乐医,,2500万人民币,Pre-A,丰盛集团,医疗健康,2017/6/20
影子速递,扬州市嘉茂达物资有限公司,300万人民币,天使轮,汇卓资本,物流,2017/6/20
飞搜科技,北京飞搜科技有限公司,1000万人民币,Pre-A,青岛鼎源资产管理有限公司,企业服务,2017/6/20
小签科技,小签科技（北京）有限公司,数千万人民币,Pre-A,影谱传媒AC加速器老鹰基金EaglesFund谷银基金,工具软件,2017/6/20
中山六匹马网络,中山六匹马网络科技有限公司,数千万人民币,Pre-A,源科资本,营销广告,2017/6/20
Stage+,广州市旷曌文化活动策划有限公司,数千万人民币,A轮,SIG海纳亚洲清流资本险峰长青(险峰华兴),企业服务移动互联网,2017/6/19
驿氪,上海驿氪信息科技有限公司,400万美元,A轮,DCM中国,营销广告,2017/6/19
自在传媒,北京无限自在文化传媒股份有限公司,5000万人民币,IPO,荣正投资向上影业东北证券两岸青创基金渤睿投资越秀金控,文体娱乐,2017/6/19
四十二章经,北京四十二章经科技有限公司,640万人民币,Pre-A,头头是道小饭桌联想之星光源资本,内容产业,2017/6/19
阿格斯,苏州阿格斯医疗技术有限公司,3000万人民币,A轮,国科嘉和德同资本元禾原点创投,医疗健康,2017/6/19
易鲜冷链,福州易鲜冷链物流有限公司,数千万人民币,天使轮,冻品在线国运通物流,物流,2017/6/19
星驰传媒,北京中视星驰文化传媒有限公司,数千万美元,B轮,亚商资本,文体娱乐,2017/6/19
聚信立,上海诚数信息科技有限公司,1亿人民币,B轮,竑观投资领沨资本,金融支付,2017/6/19
Next Smart,拟世营销咨询（深圳）有限责任公司,数百万人民币,天使轮,投资方未透露,企业服务,2017/6/19
Nonolive,广州世讯信息科技有限公司,数千万美元,战略投资,阿里巴巴微影资本斗鱼TV,文体娱乐,2017/6/19
咿啦看书,郑州点读电子科技有限公司,5000万人民币,A轮,天明集团圣商资本,教育,2017/6/19
易工厂,,1000万人民币,Pre-A,厦门坚果资本,移动互联网,2017/6/19
幼师口袋,上海必加教育科技有限公司,数千万人民币,A轮,威创股份,教育,2017/6/19
橙伞/中科福瑞,宁波中科福瑞智能科技有限公司,500万人民币,天使轮,甬欣资产,生活消费,2017/6/18
陌云科技,成都陌云科技有限公司,数千万人民币,A+轮,禾今资本启赋资本凯盈资本搜狐/畅游,企业服务,2017/6/16
径卫视觉,径卫视觉科技（上海）有限公司,数百万人民币,A轮,JOYCapital愉悦资本,交通出行,2017/6/16
mobike摩拜单车,北京摩拜科技有限公司,6亿美元,E轮,腾讯交银国际TPG德太资本高瓴资本红杉资本中国基金FarallonCapital法拉龙资本工银国际,交通出行,2017/6/16
可可奇货,,数百万人民币,种子轮,荣信股份-梦网荣信余文胜,电子商务,2017/6/16
同道伟业,北京同道伟业体育科技有限公司,2400万人民币,A轮,华盖资本丰厚资本,文体娱乐,2017/6/16
海尔小焙,北京小焙科技有限公司,数千万人民币,A+轮,华青资本,硬件,2017/6/16
庆泉宠物,天津庆泉宠物用品股份有限公司,,IPO,,电子商务,2017/6/16
米兔网络,深圳市米兔网络科技股份有限公司,不详,IPO,投资方未透露,游戏动漫,2017/6/16
Maxent猛犸反欺诈,上海行邑信息科技有限公司,5000万人民币,A+轮,DCM中国祥峰投资,移动互联网,2017/6/16
德胜电气,江苏德胜电气股份有限公司,,IPO,,硬件,2017/6/16
顶象技术,北京顶象技术有限公司,,A轮,红杉资本中国基金,企业服务,2017/6/16
兴达讯,浙江兴达讯软件股份有限公司,不详,IPO,投资方未透露,企业服务,2017/6/16
魅动力,北京魅动力教育咨询有限公司,数千万人民币,B轮,头头是道投资基金熙金资本ZhongCapital真顺基金,移动互联网,2017/6/16
小趣好护士(趣医网),上海趣医网络科技有限公司,6400万人民币,A轮,上海京颐科技KingYee软银中国德屹资本弘晖资本,医疗健康,2017/6/15
云哟科技,杭州云哟科技有限责任公司,1000万人民币,天使轮,,企业服务,2017/6/15
红圈营销(和创科技),和创（北京）科技有限公司,2.1亿人民币,IPO,投资方未透露,企业服务,2017/6/15
论语天下,北京论语天下新媒体信息技术有限公司,数百万人民币,天使轮,五岳资本,内容产业,2017/6/15
上海翌雪,上海翌雪网络科技有限公司,数百万人民币,Pre-A,厦门鑫百益奥英网络,游戏动漫,2017/6/15
鲲游光电,上海鲲游光电科技有限公司,数百万人民币,天使轮,上海晨晖创投,硬件,2017/6/15
LOOK言之有物科技,,3000万人民币,Pre-A,天使湾创投东方风行传媒联创策源,,2017/6/15
集客分享,北京品客互动科技有限公司,300万人民币,天使轮,艾瑞资本,企业服务,2017/6/15
慧博科技,北京慧博科技有限公司,数百万人民币,天使轮,投资方未透露,企业服务,2017/6/15
鸿鹄数据库,成都文武信息技术有限公司,300万人民币,天使轮,成都高投,企业服务,2017/6/15
车置宝,江苏车置宝信息科技有限公司,数亿人民币,C+轮,孝昌水木投资酉金资本一带一路基金,交通出行,2017/6/15
有路,北京有路前行科技发展有限公司,5000万人民币,A+轮,华映资本龙腾资本CherubicVentures心元资本洪泰基金Aplus,房产,2017/6/15
小寻科技,上海小寻科技有限公司,1000万美元,A轮,诺基亚成长基金MorningsideVentureCapital晨兴资本,硬件,2017/6/15
大圣出行,福建大圣出行科技有限公司,1000万人民币,天使轮,动感汽车,交通出行,2017/6/15
纽若思医疗,浙江纽若思医疗科技有限公司,600万人民币,战略投资,资科资产,医疗健康,2017/6/15
有路,北京有路前行科技发展有限公司,5000万人民币,A+轮,华映资本龙腾资本洪泰基金Aplus心元资本,房产,2017/6/15
车置宝,江苏车置宝信息科技有限公司,数亿人民币,C轮,酉金资本一带一路基金孝昌水木投资,交通出行,2017/6/15
生命奇点,生命奇点(北京)科技有限公司,5000万人民币,A轮,汇鼎财富,医疗健康,2017/6/14
家长慕课,苏州智慧家长教育科技有限公司,200万人民币,天使轮,投资方未透露,教育,2017/6/14
选旅行,,600万人民币,天使轮,中橙资本,旅游户外,2017/6/14
轻生活,深圳八零赞电子商务有限公司,数千万人民币,A轮,启赋资本,电子商务,2017/6/14
智影,杭州慧川智能科技有限公司,数千万人民币,A轮,纪源资本GGV清流资本,文体娱乐,2017/6/14
支付侠,广州向川宜动漫科技有限公司,1000万人民币,战略投资,,金融支付,2017/6/14
艺术小红花,北京大艺博展文化传播有限公司,1000万人民币,天使轮,,移动互联网,2017/6/14
精诚以诺,成都精诚以诺科技股份有限公司,不详,IPO,,企业服务,2017/6/14
样本通IvyMobi,北京品冠天成科技有限公司,1200万人民币,Pre-A,中科创星,企业服务,2017/6/14
传世科技,哈尔滨传世科技有限公司,数千万人民币,Pre-A,本翼资本,文体娱乐,2017/6/14
闪修侠,杭州维时科技有限公司,数千万人民币,A轮,回收宝,生活消费,2017/6/14
畅购GO,温州温视文化传媒有限公司,数亿人民币,A轮,紫罗兰家纺,电子商务,2017/6/14
超神互动,温州超神互动网络科技有限公司,3亿人民币,战略投资,,教育,2017/6/14
魅动力,北京魅动力教育咨询有限公司,数千万人民币,B轮,真顺基金熙金资本头头是道,移动互联网,2017/6/13
深圳新闻网,深圳新闻网传媒股份有限公司,不详,IPO,,文体娱乐,2017/6/13
香飘飘,香飘飘食品股份有限公司,不详,IPO,,电子商务,2017/6/13
Horizon,Horizon,3000万人民币,A轮,张江火炬创投云椿资本星通资本,工具软件,2017/6/13
暖水信息,上海暖水信息技术有限公司,1500万人民币,战略投资,恺英网络,金融支付,2017/6/13
合勋车融,上海合勋车融资产管理有限公司,4000万人民币,战略投资,恺英网络,金融支付,2017/6/13
百付天下,上海翰鑫信息科技有限公司,2000万人民币,战略投资,恺英网络,金融支付,2017/6/13
翰迪数据,上海翰迪数据服务有限公司,3450万人民币,战略投资,恺英网络,金融支付,2017/6/13
中联保险,湖南中联保险经纪股份有限公司,不详,IPO,,金融支付,2017/6/13
智驾科技ICARFORCE,杭州智驾科技有限公司,数千万人民币,Pre-A,理成资产壹号资本君子兰,电子商务移动互联网,2017/6/13
传世般若,深圳传世般若科技有限公司,数千万人民币,Pre-A,本翼资本,医疗健康,2017/6/12
美嘉体育,北京美嘉易享体育文化发展有限公司,1500万人民币,Pre-A,颂大教育时尚星秀,文体娱乐,2017/6/12
PonyCar,深圳市嘟嘟单车网络科技有限公司,未公开,B轮,欧珀OPPO手机惠友通讯,交通出行,2017/6/12
冻品在线,福建冻品在线网络科技有限公司,5000万人民币,战略投资,顺为资本汇信资本,电子商务,2017/6/12
青云QingCloud,北京优帆科技有限公司,108亿,D轮,招商局资本招商致远基金阳光融汇资本中金佳泰泛海投资蓝驰创投光速中国,企业服务,2017/6/12
富途证券,富途证券国际（香港）有限公司,1.455亿美元,C轮,腾讯产业共赢基金/腾讯经纬中国红杉资本中国基金,金融支付,2017/6/12
超级售后,上海八度网络科技有限公司,3000万人民币,天使轮,投资方未透露,生活消费,2017/6/12
小鹏汽车,广州橙行智动汽车科技有限公司,22亿万人民币,B轮,神州租车,交通出行,2017/6/12
牛魔王,上海驹旗网络科技有限公司,1500万美元,B轮,蓝湖资本DCM中国经纬中国南山资本险峰长青真格基金,内容产业,2017/6/12
Smacircle,小环科技（深圳）有限公司,500万人民币,天使轮,,交通出行,2017/6/12
星云视频云,深圳星聚网络技术有限公司,数百万人民币,A轮,,内容产业,2017/6/12
乐才,乐才（北京）科技有限公司,数百万人民币,战略投资,,企业服务,2017/6/9
吉象科技,宁波吉象塑胶科技股份有限公司,,不明确,投资方未透露,硬件,2017/6/9
捷翔饮品,捷翔饮品（上海）有限公司,数千万人民币,Pre-B轮,盛景网联(盛景嘉成),生活消费,2017/6/9
UU跑腿,郑州时空隧道信息技术有限公司,1亿万人民币,A+轮,启赋资本天明集团,生活消费,2017/6/9
闪殿PopupUnion,上海擎库信息科技有限公司,数百万人民币,天使轮,真格基金,企业服务,2017/6/9
KuWeather,北京心中有数科学技术有限公司,数千万人民币,Pre-A,青岛融海国投股权投资,生活消费,2017/6/9
乐播科技,深圳乐播科技有限公司,2000万人民币,A轮,金沙江创业投资基金,硬件,2017/6/9
科锐国际,北京科锐国际人力资源股份有限公司,,IPO,投资方未透露,企业服务,2017/6/9
火星文化,天津火星文化有限公司,8000万人民币,B轮,博雅互动东方富海梅花天使创投平衡资本东资股权基金光一文投,其他,2017/6/9
BigQuant,成都宽邦科技有限公司,100万人民币,天使轮,投资方未透露,金融支付,2017/6/9
云汇天下,北京云汇天下科技有限公司,1500万人民币,Pre-A,迅雷网络晨兴资本,硬件,2017/6/8
星聚网络,常州星聚网络科技有限公司北京分公司,数百万人民币,A轮,昂若资本荣信股份-梦网荣信,硬件,2017/6/8
淘拍拍,苏州拍拍淘信息有限公司北京分公司,6480万人民币,A+轮,百合网,生活消费,2017/6/8
别样网,杭州放牛网络科技有限公司,200万人民币,种子轮,投资方未透露,内容产业,2017/6/8
架构云(驻云科技),上海驻云信息科技有限公司,数千万人民币,C轮,复星昆仲红杉资本中国基金,企业服务,2017/6/8
数梦工场,杭州数梦工场科技有限公司,7.5亿万人民币,A轮,光大集团银杏谷资本阿里资本/阿里巴巴,企业服务,2017/6/8
云南白药,云南白药集团股份有限公司,56亿人民币,战略投资,鱼跃医疗,医疗健康,2017/6/8
华新科技,江阴华新电器科技股份有限公司,,IPO,投资方未透露,硬件,2017/6/8
未来域,未来域(中国)控股有限公司,2亿人民币,B轮,新光创投,房产,2017/6/8
探探,探探文化发展（北京）有限公司,7000万美元,D轮,欢聚时代/YY多玩,社交,2017/6/8
录趣,北京录趣科技有限公司,300万人民币,天使轮,华盛一泓,教育,2017/6/8
百鱼科技,成都百鱼科技有限公司,3000万人民币,A轮,投资方未透露,企业服务,2017/6/8
微米在线,杭州昊晟科技有限公司,数千万人民币,A轮,融磊资本,金融支付,2017/6/7
VR小伴马,子歌(上海)文化传播有限公司,数千万人民币,天使轮,投资方未透露,内容产业教育ARVR,2017/6/7
小橙堡,深圳市小橙堡文化传播有限公司,1500万人民币,天使轮,盛通股份,内容产业教育,2017/6/7
人人助学,人人助学（北京）科技有限公司,1000万人民币,天使轮,中国风险投资,金融支付互联网金融,2017/6/7
家核优居,长沙家和网络科技有限公司,460万人民币,天使轮,王兴华倍效云,硬件智能制造,2017/6/7
游心商旅,苏州猿来如此信息科技有限公司,1000万人民币,天使轮,奥马电器联想之星恒昌财富,医疗健康旅游户外,2017/6/7
湃乐思教育,北京湃乐思教育科技有限公司,数百万人民币,天使轮,沪江教育-互桂基金,教育,2017/6/7
Convertlab欣兆阳科...,上海欣兆阳信息科技有限公司,数千万人民币,A轮,春晓资本,企业服务,2017/6/7
V+Fitness胜军投资,上海胜军投资管理有限公司,数千万人民币,Pre-A,元讯基金,医疗健康,2017/6/7
驴咖来了,杭州中涵文旅信息技术有限公司,200万人民币,天使轮,杭州澳创资管,旅游户外,2017/6/7
魔力伞,上海艺升信息科技有限公司,数百万人民币,天使轮,真功夫孵化器蔡跃栋温城辉,生活消费,2017/6/7
华云数据,无锡华云数据技术服务有限公司,15亿万人民币,F轮,投资方未透露,企业服务,2017/6/7
农田管家,北京农田管家科技有限责任公司,5000万人民币,A轮,云启资本戈壁投资,企业服务,2017/6/7
大方租车,武汉大方汽车租赁有限公司,3000万人民币,A轮,德瑞恒通湖北超逸投资管理有限公司,交通出行,2017/6/7
去钓鱼,北京山水视窗文化传播有限公司,数千万人民币,A轮,凯泰资本,文体娱乐,2017/6/6
神州专车,神州优车（天津）有限公司,24亿万人民币,战略投资,人保资本,交通出行,2017/6/6
翼卡车联网,广东翼卡车联网服务有限公司,4000万人民币,A轮,珞珈创新天使基金,交通出行,2017/6/6
润东医药,润东医药研发（上海）有限公司,数亿人民币,B轮,弘晖资本,医疗健康,2017/6/6
熙香小厨,上海熙香投资管理有限公司,数千万人民币,A轮,浙江金控资本,生活消费,2017/6/6
程序员客栈,杭州势然网络科技有限公司,3000万人民币,天使轮,紫辉创投,企业服务,2017/6/6
一步用车,河南一步用车科技有限公司,1.35亿万人民币,A轮,多氟多集团,交通出行,2017/6/5
阿拉丁未来科技,北京阿拉丁未来科技有限责任公司,1000万人民币,天使轮,创新工场清科创投,企业服务,2017/6/5
Sleepace舒派,迈迪加科技,5000万人民币,B+轮,兴旺投资喜马拉雅文化基金,硬件医疗健康,2017/6/5
未名企鹅,未名企鹅(北京)科技有限公司招,数千万人民币,A+轮,红石诚金成为资本经纬中国,医疗健康,2017/6/5
汇牛,北京杰丰瑞特文化传媒有限公司,4000万人民币,A轮,琢石投资星期六控股,营销广告,2017/6/5
寻找田野,寻田网络科技(上海)有限公司,1000万人民币,Pre-A,永辉云创,电子商务,2017/6/5
省心宝,重庆省心宝科技有限公司,数千万人民币,Pre-B轮,比特大陆熊猫创投,交通出行,2017/6/5
加速度维修,广州修客信息科技有限公司,数千万人民币,Pre-A,盈信资本,生活消费,2017/6/5
瓜子二手车直卖网,山景科创网络技术(北京)有限公司,数亿美元,B轮,投资方未透露,交通出行,2017/6/5
闪送,北京同城必应科技有限公司,5000万美元,C+轮,顺为资本新华联集团赫斯特HearstVentures普思资本,生活消费,2017/6/5
找辅导,西安嘉百列网络科技有限公司,200万人民币,种子轮,飞马基金-飞马旅,教育,2017/5/31
联华超市,联华超市股份有限公司,数亿人民币,IPO,阿里资本/阿里巴巴,生活消费,2017/5/26
乐视体育,乐视体育文化产业发展（北京）有限公司,25亿人民币,B+轮,中意宁波生态园,内容产业,2017/5/26
纵横中文网,北京幻想纵横网络技术有限公司,未公开,不明确,红杉资本中国基金完美世界分享投资,内容产业,2017/5/26
Master平台,北京时时科技股份有限公司,数千万人民币,Pre-A,凯磐资本,社交,2017/5/26
51社保网,北京众合天下管理咨询有限公司,1亿人民币,C轮,智联招聘,企业服务,2017/5/26
新潮传媒,成都新潮传媒集团股份有限公司,10亿人民币,不明确,,营销广告,2017/5/26
考试星,北京梦见星科技有限公司,数百万人民币,天使轮,,企业服务,2017/5/26
易百客,无锡易百客科技有限公司,2000万人民币,Pre-A,青岛昌盛集团,交通出行,2017/5/26
E诊断,西安沸腾医疗软件科技有限公司,数千万人民币,天使轮,西安交通大学资产管理有限公司,医疗健康,2017/5/26
十四行诗,上海真者电子商务有限公司,1200万人民币,Pre-A,挑战资本蛋黄科技杭州胜辉投资有限公司图南（平潭）股权投资合伙企业（有限合伙）,生活消费,2017/5/26
叮当中医,叮当（北京）中医健康管理有限公司,数千万人民币,Pre-A,今品投资,医疗健康,2017/5/25
够旅游,北京家事帮家政服务有限公司,3000万人民币,Pre-A,中国妇女儿童事业发展中心股商控股集团,旅游户外,2017/5/25
环宇体育,北京环宇盛景体育文化传媒有限公司,2500万人民币,A轮,江苏省体育产业投资基金,文体娱乐,2017/5/25
庞际网络,北京庞际网络科技有限公司,1000万人民币,Pre-A,中科招商,ARVR游戏动漫,2017/5/25
欧欧眼保仪,北京星辰万有科技有限公司,1800万人民币,A轮,,ARVR硬件,2017/5/25
易百客,无锡易百客科技有限公司,2000万人民币,Pre-A,,交通出行,2017/5/25
有住网,青岛有住网络咨询有限公司,1亿人民币,B轮,光远资本清晨资本同威资本信中利资本,房产,2017/5/25
Flint OS,燧炻科技创新（北京）有限责任公司,未公开,种子轮,PlugandPlayTechCenter,企业服务,2017/5/25
微念科技,杭州微念科技有限公司,数千万人民币,A轮,华映资本琢石投资,企业服务,2017/5/25
乐车邦,上海乐车邦科技有限公司,3亿人民币,B轮,远翼投资凯辉中法创新基金红杉资本中国基金均胜电子祥峰投资,交通出行,2017/5/25
熊猫直播,上海熊猫互娱文化有限公司,10亿人民币,B轮,兴证资本汉富资本沃肯资本光源资本中冀投资昌迪资本明石投资,游戏动漫,2017/5/24
随充,深圳骐骥网络科技有限公司,数千万人民币,天使轮,极豆资本广汉焦点前海天宏基金,硬件,2017/5/24
社保通,社宝信息科技(上海)有限公司,数千万人民币,A+轮,元璟资本真格基金火山石资本知卓资本RECRUIT国内资本,企业服务,2017/5/24
布卡互动/布卡直播,北京布卡互动科技有限公司,1000万人民币,Pre-A,中文基金德同资本,工具软件,2017/5/24
梦想加,北京梦想加科技有限公司,2000万美元,B轮,险峰长青Wecash闪银奇异科技愉悦资本,企业服务,2017/5/24
笑果文化,上海笑果文化传媒有限公司,近亿人民币,A+轮,天图资本华人文化产业基金游族网络南山资本,文体娱乐,2017/5/24
幻境视界,苏州幻境视界文化传播有限公司,300万人民币,种子轮,苏州林格商用系统有限公司,ARVR,2017/5/24
七灵石,七灵石动漫画（上海）有限公司,数千万人民币,Pre-A,晨曜资本,内容产业,2017/5/24
地上铁,地上铁租车（深圳）有限公司,5000万人民币,Pre-A,启明创投,交通出行,2017/5/23
小糖人文化,北京小糖人文化传媒有限公司,数千万人民币,A轮,中信金石投资正心谷创新资本,文体娱乐,2017/5/23
盖得排行,北京盖得排行信息科技有限公司,800万人民币,Pre-A,君盛投资,生活消费,2017/5/23
花椒直播,花椒信息技术（北京）有限公司,1亿人民币,B轮,天鸽互动,内容产业移动互联网,2017/5/23
北京智齿科技,北京智齿数汇科技有限公司,5000万人民币,B轮,拓尔思界石投资金科君创IDG资本,企业服务人工智能,2017/5/23
新印相·云校园,武汉莘者酷电子商务有限公司,600万人民币,A轮,东湖天使基金光谷联合卓尔集团,生活消费,2017/5/23
西游电单,西游骑物（上海）网络技术有限公司 ,数千万人民币,A轮,孙坚于刚汉理资本,交通出行,2017/5/23
格如灵,北京格如灵科技有限公司,数千万人民币,Pre-A,中路资本优格资本奋毅资本,教育,2017/5/23
Shipamax,,250万美元,种子轮,心元资本FFAngelLLCAMECloudVentures,物流,2017/5/22
触宝科技,上海触宝信息技术有限公司,1亿人民币,D轮,建银国际华盖资本红杉资本中国基金SIG海纳亚洲启明创投,工具软件,2017/5/22
洋葱数学,光合新知（北京）科技有限公司,9700万人民币,B轮,StarVC青松基金峰瑞资本,教育,2017/5/22
梅卡曼德,梅卡曼德（北京）机器人科技有限公司,数千万人民币,Pre-A,华创资本伽利略资本,硬件人工智能,2017/5/22
刚毅科技,四川刚毅科技集团有限公司,数千万人民币,战略投资,,新农业,2017/5/22
百通世纪,北京百通世纪科技有限公司,数千万人民币,Pre-A,晟初投资,教育,2017/5/22
微之家,福州香瓜网络科技有限公司,1000万人民币,Pre-A,,企业服务,2017/5/22
伟景智能,北京伟景智能科技有限公司,5000万人民币,A轮,,硬件,2017/5/22
地呱呱,江苏易地宝网络科技有限公司,1000万人民币,天使轮,道生投资清科创投徐汉杰,新农业,2017/5/22
云智慧,云智慧（北京）科技有限公司,2600万美元,C轮,宽带资本SIG海纳亚洲红杉资本中国基金,企业服务,2017/5/22
寓乐湾,北京寓乐世界教育科技有限公司,数千万人民币,B轮,华和资本,教育,2017/5/21
春笋共享雨伞,暂未收录,500万人民币,天使轮,,共享经济,2017/5/21
乐乎,北京乐乎公寓物业管理有限公司,数千万人民币,A轮,复星集团,生活消费,2017/5/20
番茄田艺术,上海远播教育科技股份有限公司,数千万人民币,A轮,,教育,2017/5/19
亿点红包,陕西运璟网络科技有限公司,3000万人民币,A轮,江苏紫狼,营销广告,2017/5/19
嗨课,嗨课网络科技有限公司,1500万人民币,Pre-A,险峰长青治平资本,教育,2017/5/19
哐叽,北京希辰科技有限公司,近千万元人民币,Pre-A,JadeValue爱回收,电子商务,2017/5/19
陆家嘴文化,上海陆家嘴文化传媒有限公司,数千万人民币,Pre-A,小村资本,文体娱乐,2017/5/18
